Code,Issue Name,Market Cap(KRW),Index Market Cap weight(%),Share Price Change(%)
204320,MANDO,"1,359,408,624,000",0.13,-52.25
008560,MERITZ SECU,"2,592,143,788,160",0.16,-1.92
033920,Muhak,"387,600,000,000",0.02,-30.79
006800,MIRAE ASSET DAEWOO,"4,298,806,144,240",0.37,-28.94
003850,BoryungPharm,"441,116,000,000",0.03,3.96
003000,BukwangPharm,"1,211,983,018,400",0.15,37.57
005180,Binggrae,"714,214,972,500",0.05,14.9
006400,"SAMSUNG SDI CO.,LTD.","15,059,432,070,000",1.51,7.58
028260,SAMSUNG C&T,"20,012,299,536,500",1.42,-14.62
207940,SAMSUNG BIOLOGICS,"25,572,772,500,000",0.75,4.18
032830,SAMSUNG LIFE,"16,320,000,000,000",0.92,-32.32
018260,SAMSUNG SDS,"15,785,071,200,000",0.91,3.04
028050,SamsungEng,"3,449,600,000,000",0.35,41.94
009150,SamsungElecMech,"7,730,797,536,000",0.76,4.56
005930,SamsungElec,"231,030,584,685,000",24.4,22.22
010140,SamsungHvyInd,"4,668,300,000,000",0.43,13.23
016360,SamsungSecu,"2,812,950,000,000",0.26,-10.02
029780,SAMSUNG CARD,"4,002,924,684,050",0.12,-8.66
000810,SamsungF&MIns,"12,743,831,153,000",1.12,5.09
145990,SYC,"565,939,165,000",0.02,-40.73
000070,SAMYANGHOLDINGS,"672,295,273,500",0.04,-35.66
004490,SGBC,"503,300,000,000",0.04,0.56
001430,SBC,"634,759,506,300",0.03,-39.07
068270,Celltrion,"27,913,989,592,500",2.93,-30.38
004170,Shinsegae,"2,520,366,336,000",0.24,-13.97
055550,ShinhanGroup,"18,778,303,645,200",2.16,-19.84
003410,SsangyongCement,"3,169,276,852,550",0.09,104.95
003620,SsangyongMtr,"546,279,608,160",0.02,-22.66
002790,AmoreG,"5,994,709,686,000",0.26,-48.44
090430,AMOREPACIFIC,"12,247,053,655,000",0.87,-31.2
010780,IS DONGSEO,"945,655,821,150",0.06,-11.93
005850,SLCORP,"675,608,545,500",0.04,-18.57
012750,S-1,"3,818,917,389,000",0.33,-3.74
036570,NCsoft,"10,234,553,763,000",1.16,4.25
111770,Youngone Corp,"1,699,344,797,800",0.11,21.75
003520,YUNGJIN PHARM,"1,086,382,822,140",0.07,-32.35
000670,Youngpoong,"1,372,319,800,000",0.04,-30.63
007310,Ottogi,"2,610,191,588,000",0.13,-10.17
271560,ORION,"4,744,075,320,000",0.35,14.83
001800,ORION Holdings,"1,071,217,410,300",0.05,-35.83
000030,Woori Bank,"10,545,600,000,000",1.04,-0.95
014830,UNID,"373,373,406,000",0.03,-9.77
000100,Yuhan,"2,496,812,893,000",0.26,-1.95
214320,INNOCEAN,"1,266,000,000,000",0.1,-11.42
139480,emart,"5,087,336,967,500",0.49,-31.91
007570,IlyangPharm,"523,764,560,000",0.05,-28.66
020150,ILJIN MATERIALS,"1,890,544,235,000",0.11,7.05
030000,CheilWorldwide,"2,588,427,562,500",0.21,9.69
185750,CHONGKUNDANG,"1,007,682,072,000",0.09,-18.81
035720,Kakao,"8,588,940,619,000",0.73,-24.82
192820,COSMAX,"1,306,436,170,000",0.13,11.11
120110,KOLON IND,"1,545,887,532,000",0.14,-35.62
021240,COWAY,"5,468,551,767,900",0.56,-22.03
192400,CUCKOO,"842,823,784,500",0.02,-11.97
003240,TaekwangInd,"1,469,688,000,000",0.06,0.23
036580,FARMSCO,"285,743,396,540",0.02,-32.93
028670,PanOcean,"2,376,160,125,115",0.13,-15.65
047050,POSCO DAEWOO,"2,245,427,711,800",0.11,3.76
103140,POONGSAN,"766,464,003,300",0.07,-41.09
086790,HANAFINANCIALGR,"10,883,774,747,500",1.31,-23.46
000080,HITEJINRO,"1,164,217,942,600",0.07,-31.12
036460,Kogas,"4,449,486,600,000",0.22,13.28
071050,KIH,"3,315,696,524,000",0.32,-13.77
025540,KorElecTerm,"422,849,000,000",0.04,-38.97
002960,HankookShellOil,"437,450,000,000",0.03,-11.87
015760,KEPCO,"21,249,010,948,700",1.39,-13.24
161890,KOLMAR KOREA,"1,575,442,209,000",0.15,-14.02
161390,HANKOOK TIRE,"4,973,584,020,350",0.39,-26.47
000240,HANKOOK TIRE WORLDWIDE,"1,544,134,871,800",0.05,-12.17
047810,KOREA AEROSPACE,"3,109,455,913,300",0.3,-32.77
060980,HALLA HOLDINGS,"472,617,731,250",0.04,-30.22
008930,Hanmi Science,"5,016,442,093,000",0.22,-27.41
128940,HanmiPharm,"5,282,960,624,000",0.43,-18.96
009240,Hanssem,"1,586,186,747,200",0.09,-62.56
020000,Handsome,"892,837,500,000",0.07,15.26
105630,Hansae,"794,000,000,000",0.04,-24.52
014680,Hanchem,"875,377,612,500",0.09,6.9
018880,Hanon Systems,"5,765,040,000,000",0.39,-20.71
009420,HANALL BIOPHARMA,"1,891,111,095,600",0.15,48.36
003300,HANILHOLDINGS,"326,665,853,800",0.01,-68.97
051600,KEPCO KPS,"1,494,000,000,000",0.1,-18.23
052690,KEPCO E&C,"798,798,000,000",0.04,-12.18
097230,HANJIN HVY IND,"175,516,900,740",0.02,-50.0
000880,Hanwha,"2,349,956,342,250",0.16,-24.46
088350,HANWHA LIFE,"3,665,196,600,000",0.19,-38.93
012450,HANWHA AEROSPACE,"1,691,300,000,000",0.15,-8.58
009830,HanwhaChem,"3,294,829,958,800",0.28,-36.08
000720,HyundaiEng&Const,"6,080,024,769,000",0.54,50.41
005440,HYUNDAIGREENFOOD,"1,397,174,092,600",0.1,-4.35
086280,HYUNDAIGLOVIS,"4,837,500,000,000",0.32,-5.15
064350,HYUNDAI ROTEM,"2,367,250,000,000",0.18,48.53
079430,HYUNDAILIVART,"411,732,404,100",0.03,-37.34
012330,Mobis,"18,495,333,970,000",1.68,-27.76
010620,HyundaiMipoDock,"2,396,528,940,000",0.18,54.34
069960,HYUNDAIDEPTST,"2,115,580,666,400",0.17,-13.49
017800,HyundaiElev,"2,905,934,462,000",0.29,96.69
011210,HYUNDAI WIA,"985,821,758,750",0.08,-44.23
004020,HYUNDAI STEEL,"6,038,421,771,250",0.51,-21.51
009540,HHI,"9,094,345,406,000",0.8,34.13
267250,HYUNDAI HEAVY INDUSTRIES HOLDINGS,"5,635,169,482,000",0.43,-9.19
005380,HyundaiMtr,"25,319,680,159,500",2.23,-21.47
001450,Hyundai M&F INS,"3,669,870,000,000",0.33,-12.66
057050,HYUNDAIHOMESHOP,"1,188,000,000,000",0.09,-17.84
008770,HtlShilla,"3,002,481,256,500",0.31,-9.46
004800,Hyosung,"689,757,550,000",0.05,-31.54
298040,HYOSUNG HEAVY,"385,570,059,800",0.03,-25.5
093370,FOOSUNG,"687,142,596,980",0.05,-26.9
069260,Huchems,"985,173,970,800",0.07,-1.83
